rowid,planet_id,star_id,system_id,pl_orbper,pl_rade,pl_masse
1.0,3,22541,1,323.21,,
2.0,3,2,1,326.03,,
3.0,3,22539,1,,,
4.0,6,2227,2,516.22,,
5.0,6,22437,2,516.22,,
6.0,6,22539,2,,,
7.0,9,22539,3,,,
8.0,9,22541,3,186.76,,
9.0,9,101,3,185.84,,
10.0,17,22468,4,1765.04,,2559.47
11.0,17,2265,4,,,
12.0,17,2486,4,1724.0,,
13.0,17,2512,4,1796.4,,
14.0,17,22537,4,1766.0,,
15.0,17,22437,4,1773.4,,
16.0,17,2031,4,1773.4,,
17.0,17,22535,4,1766.41,,
18.0,23,22437,5,798.5,,
19.0,23,22529,5,798.5,,
20.0,23,22537,5,799.5,,
21.0,23,21,5,800.8,,
22.0,23,22535,5,799.45,,
23.0,23,2031,5,799.5,,
24.0,24,2147,6,578.38,,
25.0,27,22539,7,,,
26.0,27,22541,7,982.85,,
27.0,27,22540,7,993.3,,
28.0,31,22537,8,,,3000.0
29.0,31,2807,8,,,4000.0
30.0,31,30,8,,18.65,2543.0
31.0,31,2807,8,,,3000.0
32.0,33,22487,9,30.35,,
33.0,33,22541,9,30.33,,
34.0,34,1911,10,452.8,,
35.0,35,1911,10,883.0,,
36.0,36,35,11,,,1271.31
37.0,37,36,12,,,4131.79
38.0,39,22537,13,,11.21,
39.0,39,38,13,,,7786.5
40.0,40,39,14,,16.14,4417.84
41.0,41,40,15,,,3686.81
42.0,42,41,16,,,5720.91
43.0,43,42,17,,,2383.6
44.0,44,41,18,,,8899.2
45.0,45,41,19,,,6356.57
46.0,47,43,20,,,1589.15
47.0,47,22537,20,,,1271.0
48.0,49,45,21,416.0,,603.88
49.0,49,46,21,406.0,,
50.0,50,41,22,,,3813.94
51.0,51,47,23,,,3972.88
52.0,52,48,24,,,9534.85
53.0,54,49,25,270.27,,
54.0,54,49,25,269.3,,
55.0,59,22535,26,1076.6,,
56.0,59,22537,26,1078.0,,
57.0,59,2031,26,1083.2,,
58.0,59,2641,26,1076.6,,
59.0,59,2512,26,1100.8,,
60.0,62,22537,26,2391.0,,
61.0,62,2031,26,7586.0,,
62.0,62,22535,26,2287.0,,
63.0,64,22537,26,14002.0,,
64.0,64,22535,26,19000.0,,
65.0,68,55,27,,,635.66
66.0,68,56,27,9100.0,,3464.33
67.0,68,22537,27,11688.0,,
68.0,68,22537,27,14965.0,,
69.0,73,22535,28,4.23,,
70.0,73,2512,28,4.23,,
71.0,73,22537,28,4.23,,
72.0,73,60,28,4.23,,
73.0,73,61,28,4.23,,146.2
74.0,74,69,29,6.8,,
75.0,75,69,29,33.75,,
76.0,88,2512,30,14.65,,
77.0,88,22537,30,14.47,,266.97
78.0,88,64,30,14.65,,
79.0,88,65,30,14.65,,263.98
80.0,88,22537,30,14.65,,
81.0,88,22537,30,14.65,,
82.0,88,22537,30,14.65,,
83.0,88,22535,30,14.65,,
84.0,88,67,30,14.65,,
85.0,88,22306,30,14.6,,254.25
86.0,88,69,30,14.65,,
87.0,88,22533,30,14.65,,
88.0,88,71,30,14.67,,
89.0,97,22537,30,44.34,,
90.0,97,22537,30,44.37,,56.7
91.0,97,22537,30,44.38,,
92.0,97,69,30,44.39,,
93.0,97,65,30,44.42,,54.47
94.0,97,67,30,44.4,,
95.0,97,22537,30,44.38,,
96.0,97,71,30,43.93,,
97.0,97,22535,30,44.38,,
98.0,108,22535,30,4820.0,,
99.0,108,65,30,4825.0,,1232.49
100.0,108,2512,30,4545.0,,
101.0,108,22537,30,5218.0,,
102.0,108,67,30,5574.2,,
103.0,108,64,30,5360.0,,
104.0,108,71,30,4517.4,,
105.0,108,22537,30,4909.0,,
106.0,108,22537,30,4867.0,,1226.77
107.0,108,22537,30,5370.0,,
108.0,108,69,30,4799.0,,
109.0,128,72,30,0.74,2.08,7.81
110.0,128,65,30,0.74,,8.14
111.0,128,22537,30,,1.92,8.08
112.0,128,22537,30,,,
113.0,128,22116,30,0.74,1.9,7.74
114.0,128,74,30,0.74,2.0,8.63
115.0,128,41,30,0.74,,
116.0,128,22535,30,0.74,,
117.0,128,22537,30,0.74,2.17,8.37
118.0,128,75,30,0.74,,
119.0,128,69,30,0.74,,
120.0,128,22537,30,0.74,,8.09
121.0,128,22537,30,2.8,,
122.0,128,71,30,2.81,,
123.0,128,22518,30,0.74,2.02,
124.0,128,22537,30,0.74,1.91,8.08
125.0,128,77,30,0.74,1.95,8.59
126.0,128,67,30,0.74,1.88,7.99
127.0,128,72,30,0.74,,
128.0,128,78,30,0.74,1.86,
129.0,136,22537,30,260.7,,
130.0,136,65,30,262.0,,44.81
131.0,136,22537,30,261.2,,
132.0,136,22537,30,260.0,,
133.0,136,22537,30,260.91,,47.01
134.0,136,22535,30,260.98,,
135.0,136,67,30,259.88,,
136.0,136,69,30,260.58,,
137.0,140,101,31,899.0,,
138.0,140,22500,31,874.77,,
139.0,140,22502,31,934.3,,
140.0,140,22541,31,919.86,,
141.0,142,83,32,4.21,,
142.0,142,22535,32,4.21,,
143.0,144,83,32,38.02,,
144.0,144,22535,32,38.1,,
145.0,145,83,32,123.01,,
146.0,149,85,33,735.1,,
147.0,149,22537,33,796.0,,
148.0,149,2796,33,,,
149.0,149,88,33,763.0,,
150.0,151,2796,33,,,
151.0,151,85,33,996.0,,
152.0,157,89,34,116.69,,
153.0,157,22535,34,116.69,,
154.0,157,22502,34,116.69,,
155.0,157,2512,34,116.69,,
156.0,157,22437,34,116.69,,
157.0,157,22529,34,116.69,,2380.45
158.0,159,22517,35,691.9,,
159.0,159,22541,35,696.62,,
160.0,160,22541,35,2051.62,,
161.0,163,96,36,93.31,,
162.0,163,2137,36,93.4,,
163.0,163,22437,36,93.4,,
164.0,166,22539,37,,,
165.0,166,22541,37,1005.57,,
166.0,166,101,37,952.7,,
167.0,167,22532,38,181.4,,
168.0,168,103,39,,,2860.46
169.0,169,104,40,,,4290.5
170.0,173,105,41,7520.0,,1664.47
171.0,173,106,41,8030.0,,1017.05
172.0,173,107,41,8905.0,,1147.36
173.0,173,108,41,9060.0,,1366.66
174.0,174,109,42,4168.69,,425.89
175.0,185,110,43,8.46,4.2,
176.0,185,111,43,8.46,,
177.0,185,112,43,8.46,3.96,
178.0,185,113,43,8.46,,20.12
179.0,185,114,43,8.46,,11.7
180.0,185,22518,43,8.45,4.03,
181.0,185,116,43,8.46,,6.1
182.0,185,117,43,8.46,4.07,17.0
183.0,185,118,43,8.46,4.19,
184.0,185,116,43,8.46,,10.2
185.0,185,119,43,8.46,,17.1
186.0,192,118,43,18.86,2.79,
187.0,192,113,43,18.86,,9.6
188.0,192,112,43,18.86,2.52,
189.0,192,116,43,18.86,,11.6
190.0,192,114,43,18.86,,22.2
191.0,192,117,43,18.86,3.24,13.6
192.0,192,116,43,18.86,,14.2
193.0,193,112,43,12.74,,1.05
194.0,195,116,43,33.11,,21.1
195.0,195,116,43,33.39,,
196.0,196,120,44,481.9,,
197.0,197,121,45,1.27,,6.2
198.0,199,22437,46,268.94,,
199.0,199,2127,46,268.94,,
200.0,200,2400,47,153.22,,
201.0,201,2111,48,137.48,,
202.0,203,2127,49,379.63,,
203.0,203,22437,49,379.63,,
204.0,204,2127,49,621.99,,
205.0,205,2054,50,578.2,,
206.0,208,22437,51,41.69,2.58,22.25
207.0,208,21808,51,41.69,2.36,
208.0,208,131,51,41.69,2.23,16.3
209.0,209,133,52,1887.76,,
210.0,210,133,53,123.05,,
211.0,211,2233,54,307.88,,
212.0,212,2680,55,392.6,,
213.0,213,21510,56,733.0,,
214.0,214,2669,57,2590.0,,
215.0,215,2233,58,265.59,,
216.0,216,139,59,,14.68,4767.43
217.0,218,2233,60,1198.48,,
218.0,218,2845,60,1230.0,,3305.42
219.0,220,1320,61,3.87,,
220.0,220,41,61,3.87,,1523.03
221.0,221,1320,61,125.94,,
222.0,224,41,62,5.6,,2948.49
223.0,224,143,62,5.6,,
224.0,224,22437,62,5.6,,
225.0,225,143,62,237.6,,
226.0,229,22529,63,3.49,,
227.0,229,22437,63,3.49,,
228.0,229,22535,63,3.49,,
229.0,229,2386,63,3.49,,
230.0,231,149,64,1634.0,,
231.0,231,2406,64,1667.0,,
232.0,232,149,64,74.2,,
233.0,234,22437,65,714.3,,
234.0,234,152,65,714.3,,
235.0,236,153,66,4.29,21.59,3932.0
236.0,236,22518,66,4.29,20.71,
237.0,240,2570,67,655.57,,1639.99
238.0,240,41,67,649.0,,1366.66
239.0,240,22437,67,655.6,,
240.0,240,2494,67,655.6,,
241.0,241,2762,68,1891.0,,
242.0,244,2762,68,6360.0,,
243.0,244,2799,68,6374.0,,1420.69
244.0,244,2797,68,6240.0,,1525.58
245.0,245,161,69,547.0,,
246.0,246,162,70,1823.5,,8358.89
247.0,248,163,71,3.15,,
248.0,248,163,71,3.15,,
249.0,249,163,71,4.12,,
250.0,250,163,71,2.34,,
251.0,251,163,71,6.74,,
252.0,252,164,72,2.29,,
253.0,254,165,73,,17.37,9375.94
254.0,254,166,73,,,9852.68
255.0,255,167,74,10037.5,,3337.1
256.0,256,168,75,8040000.0,20.85,2479.06
257.0,257,169,76,,,3994.49
258.0,258,41,77,25.2,,
259.0,260,170,78,,12.44,2542.63
260.0,260,170,78,402000000.0,12.44,2002.32
261.0,261,171,79,,24.66,5403.0
262.0,268,172,80,1.51,16.7,327.35
263.0,268,22442,80,1.51,19.22,390.93
264.0,268,22439,80,1.51,17.39,327.36
265.0,268,41,80,1.51,,
266.0,268,22283,80,1.51,15.92,340.08
267.0,268,22518,80,1.51,20.59,
268.0,268,177,80,1.51,16.59,359.15
269.0,272,22439,81,13.24,10.55,883.57
270.0,272,22442,81,13.24,10.87,867.68
271.0,272,22518,81,13.23,7.39,
272.0,272,181,81,13.24,10.87,874.0
273.0,279,22439,82,2.99,15.98,743.72
274.0,279,22442,82,2.99,16.03,832.71
275.0,279,184,82,2.99,15.58,791.4
276.0,279,185,82,2.99,16.03,740.51
277.0,279,185,82,2.99,,
278.0,279,22518,82,2.99,21.75,
279.0,279,22432,82,,,
280.0,285,188,83,2.83,,
281.0,285,22518,83,2.83,17.76,
282.0,285,22439,83,2.83,15.13,281.92
283.0,285,188,83,2.83,16.14,291.44
