sy_snum,sy_pnum,sy_mnum,hostname,sy_dist,sy_plx,system_id
2.0,1.0,0.0,11 Com,93.18,10.71,1
1.0,1.0,0.0,11 UMi,125.32,7.95,2
1.0,1.0,0.0,14 And,75.44,13.23,3
1.0,2.0,0.0,14 Her,17.93,55.74,4
3.0,1.0,0.0,16 Cyg B,21.14,47.28,5
1.0,1.0,0.0,17 Sco,124.95,7.98,6
2.0,1.0,0.0,18 Del,76.22,13.09,7
1.0,1.0,0.0,1RXS J160929.1-210524,139.13,7.16,8
1.0,1.0,0.0,24 Boo,95.99,10.39,9
1.0,2.0,0.0,24 Sex,72.07,13.85,10
1.0,1.0,0.0,2MASS J04372171+2651014,128.48,7.76,11
2.0,1.0,0.0,2MASS J01033563-5515561 A,,,12
1.0,1.0,0.0,2MASS J01225093-2439505,33.83,29.53,13
1.0,1.0,0.0,2MASS J02192210-3925225,,,14
2.0,1.0,0.0,2MASS J0249-0557 A,66.06,15.11,15
1.0,1.0,0.0,2MASS J03590986+2009361,117.44,8.49,16
1.0,1.0,0.0,2MASS J04414489+2301513,,,17
1.0,1.0,0.0,2MASS J11011926-7732383,,,18
1.0,1.0,0.0,2MASS J11550485-7919108,100.86,9.89,19
1.0,1.0,0.0,2MASS J12073346-3932539,64.31,15.52,20
2.0,3.0,0.0,2MASS J19383260+4603591,396.33,2.5,21
1.0,1.0,0.0,2MASS J21252752-8138278,34.12,29.28,22
1.0,1.0,0.0,2MASS J22362452+4751425,69.57,14.34,23
1.0,1.0,0.0,2MASS J22501512+2325342,57.23,17.44,24
1.0,1.0,0.0,4 UMa,73.46,13.59,25
1.0,3.0,0.0,47 UMa,13.8,72.45,26
3.0,1.0,0.0,51 Eri,29.76,33.58,27
1.0,1.0,0.0,51 Peg,15.46,64.65,28
2.0,7.0,0.0,55 Cnc B,12.48,80.12,29
2.0,7.0,0.0,55 Cnc,12.59,79.43,30
1.0,1.0,0.0,6 Lyn,54.66,18.27,31
1.0,3.0,0.0,61 Vir,8.5,117.57,32
1.0,2.0,0.0,7 CMa,19.81,50.46,33
1.0,1.0,0.0,70 Vir,17.9,55.83,34
2.0,2.0,0.0,75 Cet,82.96,12.03,35
1.0,1.0,0.0,8 UMi,162.55,6.12,36
1.0,1.0,0.0,81 Cet,101.26,9.85,37
3.0,1.0,0.0,91 Aqr,44.03,22.69,38
1.0,1.0,0.0,AB Aur,162.13,6.14,39
1.0,1.0,0.0,AB Pic,50.05,19.95,40
1.0,1.0,0.0,AF Lep,26.86,37.21,41
1.0,1.0,0.0,AT2021ueyL,1040.0,,42
1.0,4.0,0.0,AU Mic,9.72,102.83,43
1.0,1.0,0.0,BD+03 2562,1070.63,0.9,44
2.0,1.0,0.0,BD+05 4868 A,43.57,22.92,45
1.0,1.0,0.0,BD+14 4559,49.35,20.23,46
1.0,1.0,0.0,BD+15 2375,768.04,1.27,47
1.0,1.0,0.0,BD+15 2940,426.42,2.32,48
1.0,2.0,0.0,BD+20 2457,1539.71,0.6,49
1.0,1.0,0.0,BD+20 274,1322.51,0.72,50
1.0,1.0,0.0,BD+20 594,179.46,5.54,51
1.0,1.0,0.0,BD+37 3172,454.25,2.17,52
1.0,1.0,0.0,BD+42 2315,610.72,1.61,53
1.0,1.0,0.0,BD+45 564,53.62,18.62,54
1.0,1.0,0.0,BD+48 738,871.49,1.12,55
1.0,1.0,0.0,BD+48 740,666.59,1.47,56
1.0,1.0,0.0,BD+49 828,442.04,2.23,57
1.0,1.0,0.0,BD+55 362,52.57,18.99,58
1.0,1.0,0.0,BD+60 1417,44.95,22.22,59
1.0,1.0,0.0,BD+63 1405,38.05,26.25,60
1.0,2.0,0.0,BD-06 1339,20.27,49.31,61
1.0,2.0,0.0,BD-08 2823,41.33,24.16,62
1.0,1.0,0.0,BD-10 3166,84.41,11.82,63
1.0,2.0,0.0,BD-11 4672,27.17,36.78,64
1.0,1.0,0.0,BD-13 2130,925.21,1.05,65
3.0,1.0,0.0,BD-14 3065 A,589.42,1.67,66
1.0,1.0,0.0,BD-17 63,34.46,28.99,67
1.0,2.0,0.0,BD-210397,23.73,42.11,68
2.0,1.0,0.0,BEBOP-3,119.05,8.37,69
2.0,1.0,0.0,BEBOP-4 A,234.29,4.24,70
1.0,4.0,0.0,Barnard's star,1.83,547.45,71
1.0,1.0,0.0,CD Cet,8.61,116.15,72
1.0,1.0,0.0,CD-35 2722,22.39,44.63,73
1.0,1.0,0.0,CFBDSIR J145829+101343,,,74
1.0,1.0,0.0,CFHTWIR-Oph 98 A,,,75
1.0,1.0,0.0,CHXR 73,190.37,5.23,76
1.0,1.0,0.0,CI Tau,158.0,6.3,77
1.0,1.0,0.0,COCONUTS-2 A,10.89,91.83,78
1.0,1.0,0.0,CT Cha,190.72,5.21,79
1.0,1.0,0.0,CoRoT-1,787.91,1.24,80
1.0,1.0,0.0,CoRoT-10,338.39,2.93,81
1.0,1.0,0.0,CoRoT-11,655.04,1.5,82
1.0,1.0,0.0,CoRoT-12,1126.37,0.86,83
1.0,1.0,0.0,CoRoT-13,1148.93,0.84,84
1.0,1.0,0.0,CoRoT-14,1744.6,0.55,85
1.0,1.0,0.0,CoRoT-16,732.41,1.34,86
1.0,1.0,0.0,CoRoT-17,1176.12,0.82,87
1.0,1.0,0.0,CoRoT-18,764.89,1.28,88
1.0,1.0,0.0,CoRoT-19,790.66,1.24,89
2.0,1.0,0.0,CoRoT-2,213.28,4.66,90
1.0,2.0,0.0,CoRoT-20,844.06,1.16,91
1.0,1.0,0.0,CoRoT-21,,,92
1.0,1.0,0.0,CoRoT-22,627.16,1.57,93
1.0,1.0,0.0,CoRoT-23,1060.97,0.92,94
1.0,2.0,0.0,CoRoT-24,591.55,1.66,95
1.0,1.0,0.0,CoRoT-25,1103.48,0.88,96
1.0,1.0,0.0,CoRoT-26,1045.18,,97
1.0,1.0,0.0,CoRoT-27,1010.28,0.97,98
1.0,1.0,0.0,CoRoT-28,766.18,1.28,99
1.0,1.0,0.0,CoRoT-29,806.51,1.22,100
1.0,1.0,0.0,CoRoT-3,768.77,1.27,101
1.0,1.0,0.0,CoRoT-30,1032.23,0.94,102
1.0,1.0,0.0,CoRoT-31,2005.76,0.47,103
1.0,1.0,0.0,CoRoT-32,576.68,1.71,104
1.0,1.0,0.0,CoRoT-35,1123.21,0.86,105
1.0,1.0,0.0,CoRoT-36,925.96,1.05,106
1.0,1.0,0.0,CoRoT-4,726.41,1.35,107
1.0,1.0,0.0,CoRoT-5,882.47,1.11,108
1.0,1.0,0.0,CoRoT-6,645.29,1.52,109
1.0,3.0,0.0,CoRoT-7,159.91,6.23,110
1.0,1.0,0.0,CoRoT-8,322.04,3.08,111
2.0,1.0,0.0,CoRoT-9,412.98,2.39,112
2.0,1.0,0.0,DE CVn,30.52,32.73,113
1.0,1.0,0.0,DENIS-P J082303.1-491201,,,114
1.0,1.0,0.0,DH Tau,134.85,7.39,115
1.0,4.0,0.0,DMPP-1,62.54,15.96,116
1.0,1.0,0.0,DMPP-2,137.94,7.22,117
2.0,1.0,0.0,DMPP-3 A,45.23,22.11,118
1.0,1.0,0.0,DMPP-4,25.33,39.45,119
2.0,1.0,0.0,DP Leo,305.68,3.28,120
2.0,1.0,0.0,DS Tuc A,44.06,22.67,121
1.0,1.0,0.0,EPIC 201170410,,,122
1.0,1.0,0.0,EPIC 201238110,159.26,6.25,123
1.0,1.0,0.0,EPIC 201427007,706.39,1.39,124
1.0,1.0,0.0,EPIC 201497682,253.03,3.92,125
