rowid,planet_id,star_id,system_id,pl_orbper,pl_rade,pl_masse,pl_name,discoverymethod,disc_year,st_spectype,st_mass,st_rad,st_teff,sy_dist,sy_plx,pl_masse_ml,pl_masse_source,pl_rade_ml,pl_rade_source,pl_masse_filled,pl_rade_filled,expected_mass,expected_radius,mass_deviation,radius_deviation,is_unicorn,unicorn_score
31.0,31,2807,8,,,3000.0,1RXS J160929.1-210524 b,Imaging,2008.0,B9 V,2.5,,10500.0,139.13,7.16,,Observed,54.94605000000008,ML Estimated,3000.0,54.94605000000008,4273.913,53.363148,1273.9130859375,1.5829022644043746,True,1275.4959882019043
37.0,37,36,12,,,4131.79,2MASS J01033563-5515561 AB b,Imaging,2013.0,M5.5/M6,0.19,,,,,,Observed,14.631699999999984,ML Estimated,4131.79,14.631699999999984,1853.0198,9.427231,2278.770224609375,5.204469165039047,True,2283.974693774414
39.0,39,38,13,,,7786.5,2MASS J01225093-2439505 b,Imaging,2013.0,M3.5 V,0.4,,3530.0,33.83,29.53,,Observed,14.226449999999971,ML Estimated,7786.5,14.226449999999971,5765.347,6.318372,2021.15283203125,7.908078227233858,True,2029.0609102584838
40.0,40,39,14,,16.14,4417.84,2MASS J02192210-3925225 b,Imaging,2015.0,M6,0.11,0.28,3064.0,,,,Observed,,Observed,4417.84,16.14,2938.2053,5.9677954,1479.6346777343751,10.172204627990723,True,1489.806882362366
42.0,42,41,16,,,5720.91,2MASS J03590986+2009361 b,Imaging,2024.0,,,,,117.44,8.49,,Observed,17.637849999999982,ML Estimated,5720.91,17.637849999999982,3825.9658,10.318154,1894.9441796874999,7.31969566497801,True,1902.263875352478
44.0,44,41,18,,,8899.2,2MASS J11011926-7732383 b,Imaging,2024.0,,,,,,,,Observed,17.878799999999995,ML Estimated,8899.2,17.878799999999995,3103.3052,11.756147,5795.894824218751,6.12265261535644,True,5802.017476834108
45.0,45,41,19,,,6356.57,2MASS J11550485-7919108 b,Imaging,2024.0,,,,,100.86,9.89,,Observed,16.451499999999996,ML Estimated,6356.57,16.451499999999996,3654.2388,9.706066,2702.3312304687497,6.745433868408199,True,2709.076664337158
47.0,47,22537,20,,,1271.0,2MASS J12073346-3932539 b,Imaging,2004.0,,1.15,1.64,6105.51,64.31,15.52,,Observed,14.237700000000007,ML Estimated,1271.0,14.237700000000007,2733.2632,8.447083,1462.26318359375,5.790616526794441,True,1468.0538001205443
50.0,50,41,22,,,3813.94,2MASS J21252752-8138278 b,Imaging,2024.0,,,,,34.12,29.28,,Observed,14.277650000000008,ML Estimated,3813.94,14.277650000000008,4899.2764,9.352591,1085.3363671875,4.9250594390869225,True,1090.2614266265869
52.0,52,48,24,,,9534.85,2MASS J22501512+2325342 b,Imaging,2018.0,M3,,,,57.23,17.44,,Observed,16.24535000000001,ML Estimated,9534.85,16.24535000000001,5153.617,9.109787,4381.2328125,7.135563012695322,True,4388.368375512696
65.0,68,55,27,,,635.66,51 Eri b,Imaging,2015.0,F0 IV,1.75,,,29.76,33.58,,Observed,14.10305000000001,ML Estimated,635.66,14.10305000000001,2773.017,11.732583,2137.35708984375,2.3704669540405376,True,2139.727556797791
133.0,136,22537,30,260.91,,47.01,55 Cnc f,Radial Velocity,2007.0,,1.15,1.64,6105.51,12.59,79.43,,Observed,5.411879999999999,ML Estimated,47.01,5.411879999999999,1046.0751,7.381057,999.0650732421875,1.969176785583497,True,1001.034250027771
172.0,173,107,41,8905.0,,1147.36,AF Lep b,Imaging,2023.0,F8,1.22,,,26.86,37.21,,Observed,11.576950000000004,ML Estimated,1147.36,11.576950000000004,2884.3604,10.4025545,1737.0003515625,1.1743954879760778,True,1738.174747050476
173.0,173,108,41,9060.0,,1366.66,AF Lep b,Imaging,2023.0,F8 V,1.13,,6140.0,26.86,37.21,,Observed,12.215900000000008,ML Estimated,1366.66,12.215900000000008,2712.3857,7.77808,1345.7257421875,4.437820013427743,True,1350.1635622009276
200.0,200,2400,47,153.22,,,BD+15 2375 b,Radial Velocity,2016.0,,1.01,9.09,4830.0,768.04,1.27,2746.057100000007,ML Estimated,3.6508000000000034,ML Estimated,2746.057100000007,3.6508000000000034,1442.4641,3.5801613,1303.5929886718818,0.07063866691589693,True,1303.6636273387976
216.0,216,139,59,,14.68,4767.43,BD+60 1417 b,Imaging,2021.0,K0,1.0,0.8,4993.0,44.95,22.22,,Observed,,Observed,4767.43,14.68,1925.509,4.5485196,2841.9209667968753,10.131480388641357,True,2852.0524471855165
224.0,224,22437,62,5.6,,,BD-08 2823 b,Radial Velocity,2009.0,,1.1,1.45,6397.0,41.33,24.16,3004.440299999998,ML Estimated,3.407990000000002,ML Estimated,3004.440299999998,3.407990000000002,1611.5106,4.1644087,1392.9296798828104,0.7564186837768534,True,1393.6860985665874
